episode,score,average score,best score



0,31.3,31.3,31.3
1,14.9,23.1,31.3
2,13.5,19.9,31.3
3,2.4,15.5,31.3
4,5.7,13.6,31.3
5,6.7,12.4,31.3
6,7.7,11.7,31.3
7,22.8,13.1,31.3
8,3.6,12.1,31.3
9,9.0,11.8,31.3
10,19.5,12.5,31.3
11,2.7,11.6,31.3
12,6.2,11.2,31.3
13,3.5,10.7,31.3
14,4.4,10.3,31.3
15,2.7,9.8,31.3
16,2.7,9.4,31.3
17,4.4,9.1,31.3
18,4.4,8.8,31.3
19,5.3,8.7,31.3
20,0.9,8.3,31.3
21,5.3,8.2,31.3
22,4.4,8.0,31.3
23,0.9,7.7,31.3
24,6.2,7.6,31.3
25,3.5,7.5,31.3




26,803.9,37.0,37.0
27,3.5,35.8,37.0
28,3.5,34.7,37.0
29,2.7,33.6,37.0
30,64.9,34.6,37.0
31,2.7,33.6,37.0
32,0.9,32.6,37.0
33,3.5,31.8,37.0
34,3.5,31.0,37.0
35,0.9,30.1,37.0




36,1611.0,72.9,72.9
37,0.9,71.0,72.9
38,0.9,69.2,72.9
39,3.5,67.5,72.9
40,178.9,70.2,72.9
41,0.9,68.6,72.9
42,2.7,67.1,72.9
43,2.7,65.6,72.9
44,0.9,64.1,72.9
45,2.7,62.8,72.9
46,2.7,61.5,72.9
47,3.5,60.3,72.9
48,0.9,59.1,72.9
49,69.1,59.3,72.9
50,2.7,58.2,72.9
51,3.5,57.1,72.9
52,2.7,56.1,72.9
53,3.5,55.1,72.9
54,3.5,54.2,72.9
55,0.9,53.3,72.9
56,0.9,52.3,72.9
57,3.5,51.5,72.9
58,3.5,50.7,72.9
59,2.7,49.9,72.9
60,2.7,49.1,72.9
61,228.2,52.0,72.9
62,2.7,51.2,72.9
63,152.5,52.8,72.9
64,6.2,52.1,72.9
65,0.8,51.3,72.9
66,0.8,50.5,72.9
67,97.0,51.2,72.9
68,3.9,50.5,72.9
69,3.9,49.9,72.9
70,0.8,49.2,72.9
71,3.9,48.6,72.9
72,2.3,47.9,72.9
73,71.1,48.2,72.9
74,7.0,47.7,72.9
75,1629.4,68.5,72.9
76,3.5,67.7,72.9
77,67.8,67.7,72.9




78,785.7,76.7,76.7




79,233.8,78.7,78.7
80,3.5,77.8,78.7
81,3.5,76.9,78.7




82,2761.9,109.2,109.2
83,0.9,107.9,109.2
84,3.5,106.7,109.2




85,626.0,112.7,112.7
86,2.7,111.5,112.7
87,2.7,110.2,112.7
88,3.5,109.0,112.7
89,3.5,107.9,112.7
90,200.2,108.9,112.7
91,2.7,107.7,112.7
92,307.4,109.9,112.7
93,47.7,109.2,112.7
94,87.2,109.0,112.7
95,162.3,109.5,112.7
96,0.9,108.4,112.7




97,2016.0,127.9,127.9
98,2.7,126.6,127.9
99,3.5,125.4,127.9
100,3.5,125.1,127.9
101,2.7,125.0,127.9
102,62.1,125.5,127.9
103,3.5,125.5,127.9
104,3.5,125.5,127.9
105,3.5,125.4,127.9
106,2.7,125.4,127.9
107,0.9,125.2,127.9
108,2.7,125.2,127.9
109,0.9,125.1,127.9
110,0.9,124.9,127.9
