episode,score,average score,best score,epsilon,steps
0,30.26247838,30.26247838,#NAME?,0.999994,37
1,41.10133337,35.68190587,30.26247838,0.999944,87
2,57.6468005,43.00353742,35.68190587,0.999872,159
3,103.9296714,58.23507091,43.00353742,0.999747,284
4,74.2635812,61.44077297,58.23507091,0.999656,375
5,25.47579255,55.44660957,61.44077297,0.999624,407
6,42.18556527,53.55217467,61.44077297,0.999572,459
7,26.44132105,50.16331797,61.44077297,0.999538,493
8,33.82723085,48.34819717,61.44077297,0.999496,535
9,8.534843791,44.36686184,61.44077297,0.999485,546
10,68.45085886,46.55631611,61.44077297,0.999403,628
11,181.3776242,57.79142512,61.44077297,0.999182,849
12,73.58994083,59.00669556,61.44077297,0.999093,938
13,34.43458695,57.25154495,61.44077297,0.999051,980
14,61.1861355,57.51385098,61.44077297,0.998977,1054
15,106.3778861,60.56785317,61.44077297,0.998849,1182
16,193.0564655,68.36130096,61.44077297,0.998614,1417
17,57.17791032,67.74000148,68.36130096,0.998544,1487
18,22.38254701,65.35276703,68.36130096,0.998515,1516
19,45.82530924,64.37639414,68.36130096,0.998459,1572
20,21.70141629,62.34425234,68.36130096,0.998433,1598
21,97.14188933,63.92596311,68.36130096,0.998315,1716
22,67.42615273,64.07814527,68.36130096,0.998233,1798
23,44.61721354,63.26727311,68.36130096,0.998178,1853
24,20.56213329,61.55906752,68.36130096,0.998153,1878
25,17.24490704,59.85467673,68.36130096,0.998132,1899
26,24.06689473,58.52920333,68.36130096,0.998102,1929
27,8.079963552,56.72744476,68.36130096,0.998092,1939
28,75.24170642,57.36586758,68.36130096,0.998002,2029
29,75.36711834,57.96590927,68.36130096,0.997911,2120
30,54.90754481,57.86725235,68.36130096,0.997842,2189
31,38.70797387,57.2685249,68.36130096,0.997794,2237
32,34.484721,56.5781066,68.36130096,0.997752,2279
33,100.8065001,57.8789417,68.36130096,0.997631,2400
34,34.89133769,57.22215302,68.36130096,0.997588,2443
35,38.82681584,56.71117143,68.36130096,0.997541,2490
36,44.80192212,56.38929983,68.36130096,0.997488,2543
37,54.36093379,56.33592177,68.36130096,0.997423,2608
38,10.59237732,55.16301038,68.36130096,0.99741,2621
39,49.86803265,55.03063593,68.36130096,0.99735,2681
40,127.4225605,56.79629263,68.36130096,0.997194,2837
41,10.96546815,55.70508252,68.36130096,0.99718,2851
42,33.44349634,55.18737122,68.36130096,0.99714,2891
43,21.26432673,54.41639293,68.36130096,0.997114,2917
44,35.5191722,53.99645469,68.36130096,0.997069,2962
45,30.15480894,53.47815805,68.36130096,0.997033,2998
46,8.203283136,52.51486284,68.36130096,0.997022,3009
47,29.50888862,52.03557171,68.36130096,0.996985,3046
48,110.6527508,53.23184067,68.36130096,0.996853,3178
49,27.6061342,52.71932654,68.36130096,0.996818,3213
50,18.84486261,52.05512136,68.36130096,0.996795,3236
51,102.4108822,53.02350138,68.36130096,0.99667,3361
52,209.6112068,55.97798639,68.36130096,0.996414,3617
53,6.714490371,55.06569942,68.36130096,0.996405,3626
54,11.55577437,54.27460988,68.36130096,0.996391,3640
55,28.14495153,53.80800884,68.36130096,0.996356,3675
56,18.98849427,53.19714016,68.36130096,0.996333,3698
57,124.3511257,54.42393301,68.36130096,0.996179,3852
58,11.80574861,53.7015909,68.36130096,0.996164,3867
59,95.77143634,54.402755,68.36130096,0.99605,3981
60,24.03264323,53.90488431,68.36130096,0.996021,4010
61,41.29368347,53.70147785,68.36130096,0.995971,4060
62,77.8973118,54.0855387,68.36130096,0.995876,4155
63,25.96058503,53.6460863,68.36130096,0.995844,4187
64,7.670609453,52.93877127,68.36130096,0.995834,4197
65,58.03991099,53.01606127,68.36130096,0.995762,4269
66,11.58153593,52.39763552,68.36130096,0.995748,4283
67,30.29823873,52.07264439,68.36130096,0.995712,4319
68,35.59371175,51.83381928,68.36130096,0.995667,4364
69,57.31073986,51.912061,68.36130096,0.995596,4435
70,75.51267032,52.24446395,68.36130096,0.995505,4526
71,90.57794763,52.77687344,68.36130096,0.995397,4634
72,39.43308904,52.59408188,68.36130096,0.995348,4683
73,18.70744576,52.13615436,68.36130096,0.995326,4705
74,15.13604055,51.64281951,68.36130096,0.995307,4724
75,32.37772748,51.38933146,68.36130096,0.995268,4763
76,29.04895718,51.09919673,68.36130096,0.995233,4798
77,33.47932144,50.87330089,68.36130096,0.995192,4839
78,30.56583866,50.61624441,68.36130096,0.995154,4877
79,53.40051463,50.65104778,68.36130096,0.995089,4942
80,7.110518695,50.11351039,68.36130096,0.99508,4951
81,22.95977559,49.78236728,68.36130096,0.995051,4980
82,18.59224445,49.40658267,68.36130096,0.995028,5003
83,21.20248054,49.07081955,68.36130096,0.995003,5028
84,52.10489338,49.10651453,68.36130096,0.994939,5092
85,16.43584905,48.72662307,68.36130096,0.994919,5112
86,26.03665965,48.4658189,68.36130096,0.994887,5144
87,68.34599555,48.69172999,68.36130096,0.994804,5227
88,32.06710831,48.50493649,68.36130096,0.994764,5267
89,22.74775585,48.2187456,68.36130096,0.994736,5295
90,13.41211537,47.83625515,68.36130096,0.994719,5312
91,57.88943309,47.94552883,68.36130096,0.994648,5383
92,16.97584647,47.61252149,68.36130096,0.994627,5404
93,87.82864507,48.04035259,68.36130096,0.99452,5511
94,60.56178523,48.17215715,68.36130096,0.994448,5583
95,42.9078302,48.11732041,68.36130096,0.994397,5634
96,46.92609451,48.10503973,68.36130096,0.99434,5691
97,67.27793867,48.30068155,68.36130096,0.994257,5774
98,10.85187617,47.92241079,68.36130096,0.994243,5788
99,28.31261617,47.72631285,68.36130096,0.994208,5823
100,90.90188089,48.33270687,68.36130096,0.9941,5931
101,114.1608584,49.06330212,68.36130096,0.993962,6069
102,27.62924299,48.76312655,68.36130096,0.993927,6104
103,12.43350774,47.84816491,68.36130096,0.993911,6120
104,14.73949122,47.25292401,68.36130096,0.993893,6138
105,73.29678394,47.73113392,68.36130096,0.993804,6227
106,8.872816224,47.39800643,68.36130096,0.993793,6238
107,26.61006022,47.39969383,68.36130096,0.99376,6271
108,34.49986497,47.40642017,68.36130096,0.993717,6314
109,69.35055312,48.01457726,68.36130096,0.993633,6398
110,29.38212936,47.62388997,68.36130096,0.993597,6434
111,68.58691005,46.49598282,68.36130096,0.993514,6517
112,19.6037276,45.95612069,68.36130096,0.99349,6541
113,26.94093755,45.8811842,68.36130096,0.993457,6574
114,16.69303796,45.43625322,68.36130096,0.993436,6595
115,33.66437131,44.70911807,68.36130096,0.993394,6637
116,37.73875337,43.15594095,68.36130096,0.993349,6682
117,125.0352397,43.83451425,68.36130096,0.993198,6833
118,138.87283,44.99941708,68.36130096,0.993032,6999
119,32.50793461,44.86624333,68.36130096,0.992993,7038
120,45.71870319,45.1064162,68.36130096,0.992938,7093
121,18.55252349,44.32052254,68.36130096,0.992915,7116
122,7.466780657,43.72092882,68.36130096,0.992905,7126
123,34.69303559,43.62168704,68.36130096,0.992862,7169
124,157.9003914,44.99506962,68.36130096,0.99267,7361
125,25.81278094,45.08074836,68.36130096,0.992638,7393
126,15.92966814,44.9993761,68.36130096,0.992618,7413
127,59.3345494,45.51192195,68.36130096,0.992545,7486
128,16.33666456,44.92287153,68.36130096,0.992525,7506
129,35.39327125,44.52313306,68.36130096,0.992481,7550
130,28.2494428,44.25655204,68.36130096,0.992447,7584
131,82.02365773,44.68970888,68.36130096,0.99235,7681
132,13.74957875,44.48235746,68.36130096,0.992333,7698
133,63.46340142,44.10892647,68.36130096,0.992255,7776
134,18.23475687,43.94236066,68.36130096,0.992232,7799
135,165.8930126,45.21302263,68.36130096,0.992031,8000
136,19.58666495,44.96087006,68.36130096,0.992007,8024
137,34.60101641,44.76327089,68.36130096,0.991965,8066
138,28.82537376,44.94560085,68.36130096,0.991931,8100
139,22.04446861,44.66736521,68.36130096,0.991904,8127
140,21.77956507,43.61093526,68.36130096,0.991878,8153
141,20.21258909,43.70340647,68.36130096,0.991852,8179
142,21.89820474,43.58795355,68.36130096,0.991824,8207
143,26.51748854,43.64048517,68.36130096,0.991792,8239
144,73.12466306,44.01654008,68.36130096,0.991703,8328
145,27.8614134,43.99360612,68.36130096,0.99167,8361
146,231.0001154,46.22157444,68.36130096,0.99139,8641
147,12.80137127,46.05449927,68.36130096,0.991374,8657
148,29.46547489,45.24262651,68.36130096,0.991339,8692
149,83.48967547,45.80146192,68.36130096,0.991237,8794
150,170.6652962,47.31966626,68.36130096,0.991029,9002
151,15.21362936,46.44769373,68.36130096,0.99101,9021
152,13.38654332,44.4854471,68.36130096,0.990993,9038
153,24.55321598,44.66383435,68.36130096,0.990963,9068
154,91.24986389,45.46077525,68.36130096,0.990854,9177
155,96.56173659,46.1449431,68.36130096,0.990735,9296
156,61.296383,46.56802199,68.36130096,0.990661,9370
157,51.91581369,45.84366887,68.36130096,0.990598,9433
158,119.6980944,46.92259232,68.36130096,0.990454,9577
159,84.88219882,46.81369995,68.36130096,0.990351,9680
160,7.477870246,46.64815222,68.36130096,0.990341,9690
161,22.09720548,46.45618744,68.36130096,0.990314,9717
162,163.9556977,47.3167713,68.36130096,0.990113,9918
163,11.24712073,47.16963665,68.36130096,0.990099,9932
164,28.51644523,47.37809501,68.36130096,0.990065,9966
165,44.29530286,47.24064893,68.36130096,0.99001,10021
166,62.00840243,47.7449176,68.36130096,0.989936,10095
167,100.9794828,48.45173004,68.36130096,0.989814,10217
168,16.2584924,48.25837784,68.36130096,0.989794,10237
169,56.51363386,48.25040678,68.36130096,0.989726,10305
170,43.46158868,47.92989597,68.36130096,0.989672,10359
171,19.0779196,47.21489569,68.36130096,0.989648,10383
172,35.84505221,47.17901532,68.36130096,0.989604,10427
173,24.90812289,47.24102209,68.36130096,0.989574,10457
174,59.5447376,47.68510906,68.36130096,0.9895,10531
175,18.57204009,47.54705219,68.36130096,0.989476,10555
176,31.74511844,47.5740138,68.36130096,0.989437,10594
177,24.90346154,47.4882552,68.36130096,0.989405,10626
178,13.02683862,47.3128652,68.36130096,0.989389,10642
179,15.92178603,46.93807791,68.36130096,0.989369,10662
180,40.65383984,47.27351113,68.36130096,0.98932,10711
181,57.19405159,47.61585389,68.36130096,0.98925,10781
182,59.64741799,48.02640562,68.36130096,0.989179,10852
183,57.37052559,48.38808607,68.36130096,0.989109,10922
184,54.44567513,48.41149389,68.36130096,0.989043,10988
185,39.08465101,48.63798191,68.36130096,0.988995,11036
186,17.39870786,48.55160239,68.36130096,0.988973,11058
187,30.77874418,48.17592988,68.36130096,0.988935,11096
188,60.33297238,48.45858852,68.36130096,0.988862,11169
189,52.47103353,48.75582129,68.36130096,0.988797,11234
190,26.47048546,48.886405,68.36130096,0.988765,11266
